Disaster Nbr,Disaster Type,Disaster Name,State,Service Office,Declaration Dt,Declaration FY,Deadline Dt,Rec Created Dt,Declaration Type Cd
324706,6,ALABAMA STORMS/FLOODING,AL,9020,3/17/2000 0:00:00,2000,5/16/2000 0:00:00,3/20/2000 0:00:00,P
240106,6,LEWIS COUNTY FLOODS,WA,9040,1/23/1990 0:00:00,1990,3/19/1990 0:00:00,1/26/1990 0:00:00,P
228806,06,CHICAGO FLOOD,IL,9020,8/21/1987 0:00:00,1987,10/22/1987 0:00:00,8/31/1987 0:00:00,P
317506,6,"POLK COUNTY, TX FLOODING",TX,9030,4/21/1999 0:00:00,1999,6/21/1999 0:00:00,4/22/1999 0:00:00,A
266206,6,MISS. RIVER FLOODING,IL,9020,7/9/1993 0:00:00,1993,9/9/1993 0:00:00,7/13/1993 0:00:00,P
276006,6,CALIFORNIA FLOODING,CA,9040,1/10/1995 0:00:00,1995,3/13/1995 0:00:00,1/17/1995 0:00:00,P
221106,06,FLOODING,PR,9010,10/11/1985 0:00:00,1985,12/9/1985 0:00:00,8/15/1987 0:00:00,P
340811,11,"SEVERE STORMS, FLOODS, LANDSLIDES",WV,9010,5/5/2002 0:00:00,2002,7/4/2002 0:00:00,5/6/2002 0:00:00,P
318012,12,OK CITY TORNADOES,OK,9030,5/4/1999 0:00:00,1999,7/2/1999 0:00:00,5/4/1999 0:00:00,P
126176,6,Severe Storms and Flooding,IL,9050,6/7/2011 0:00:00,2011,8/8/2011 0:00:00,5/10/2011 0:00:00,P
355811,11,"SEVERE STORMS,FLOODING,LANDSLIDES",WV,9010,11/21/2003 0:00:00,2004,1/20/2004 0:00:00,11/24/2003 0:00:00,P
353411,11,"TORNADOES,FLOODING,SEVERE STORMS",OH,9020,8/1/2003 0:00:00,2003,9/30/2003 0:00:00,8/4/2003 0:00:00,P
266306,6,MISS. RIVER FLOODING,MO,9030,7/9/1993 0:00:00,1993,9/7/1993 0:00:00,7/13/1993 0:00:00,P
13103B,B,Tropical Storm Debby,FL,9050,7/3/2012 0:00:00,2012,9/4/2012 0:00:00,6/29/2012 0:00:00,P
293212,12,ARKANSAS TORNADOES,AR,9030,3/2/1997 0:00:00,1997,5/1/1997 0:00:00,3/5/1997 0:00:00,P
258808,8,HURRICANE ANDREW,LA,9030,8/26/1992 0:00:00,1992,10/24/1992 0:00:00,8/26/1992 0:00:00,P
9TWA00,0,EIDL CONTIG TO NY WTC,WA,9040,10/22/2001 0:00:00,2001,1/21/2002 0:00:00,10/22/2001 0:00:00,P
257006,6,FL FLOODING,FL,9020,7/8/1992 0:00:00,1992,9/8/1992 0:00:00,7/10/1992 0:00:00,A
721401,1,DROUGHT & HAIL,ND,9040,1/3/1991 0:00:00,1991,8/5/1991 0:00:00,2/6/1991 0:00:00,S
117226,6,"Severe Storms, Flooding, Tornadoes, and Straight-line Winds",GA,9050,4/23/2009 0:00:00,2009,6/22/2009 0:00:00,4/8/2009 0:00:00,P
121596,6,"Severe Storms, Flooding, Straight-line Winds, and Tornadoes",TN,9050,5/4/2010 0:00:00,2010,7/6/2010 0:00:00,5/5/2010 0:00:00,P
351211,11,"STORMS, FLOODS, LANDSLIDES",WV,9010,6/21/2003 0:00:00,2003,8/20/2003 0:00:00,6/25/2003 0:00:00,P
113538,8,Hurricane Dolly,TX,9050,7/31/2008 0:00:00,2008,9/30/2008 0:00:00,7/23/2008 0:00:00,P
11641B,B,"Severe Winter Storm, Landslides, Mudslides, and Flooding",WA,9050,1/30/2009 0:00:00,2009,3/31/2009 0:00:00,1/12/2009 0:00:00,P
10020B,B,"Severe Storms, Flooding, Debris Flows, and Mudslides",CA,9050,2/4/2005 0:00:00,2005,5/16/2005 0:00:00,1/14/2005 0:00:00,P
360706,6,SEVERE STORMS AND FLOODING,PA,9010,8/6/2004 0:00:00,2004,10/5/2004 0:00:00,8/9/2004 0:00:00,P
345208,8,HURRICANE LILI,LA,9030,10/3/2002 0:00:00,2002,12/2/2002 0:00:00,10/4/2002 0:00:00,P
357511,11,SEVERE STORMS AND FLOODING,TX,9030,5/21/2004 0:00:00,2004,7/20/2004 0:00:00,5/21/2004 0:00:00,A
311005,5,"POLK COUNTY, FL FLEA MKT FIRE",FL,9020,7/21/1998 0:00:00,1998,9/21/1998 0:00:00,7/23/1998 0:00:00,A
359011,11,"SEV STORM,TORNADO,FLOOD ETC",KY,9020,6/10/2004 0:00:00,2004,8/9/2004 0:00:00,6/14/2004 0:00:00,P
114496,6,Severe Storms and Flooding,IN,9050,9/23/2008 0:00:00,2008,11/24/2008 0:00:00,9/18/2008 0:00:00,P
102566,6,Severe Storms and Flooding,MA,9050,11/10/2005 0:00:00,2006,1/9/2006 0:00:00,10/13/2005 0:00:00,P
251402,2,PASADENA EARTHQUAKE,CA,9040,7/11/1991 0:00:00,1991,9/9/1991 0:00:00,7/17/1991 0:00:00,A
277606,6,MS FLOODING,MS,9020,5/12/1995 0:00:00,1995,7/10/1995 0:00:00,5/17/1995 0:00:00,P
254206,6,TYPHOON YURI,FM,9040,12/10/1991 0:00:00,1991,2/10/1992 0:00:00,12/27/1991 0:00:00,P
