code,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015
44,298,303,309,316,323,329,336,342,349,355,361,367,372,377,382,387
52,270,271,271,272,273,274,275,276,277,278,280,281,282,283,283,284
92,21,21,22,22,23,23,24,25,26,26,27,28,29,29,30,30
535,14,14,14,14,14,14,15,17,18,20,21,22,23,24,24,25
136,42,43,45,46,47,49,50,51,53,54,56,57,58,58,59,60
192,11151,11187,11218,11245,11267,11284,11296,11304,11310,11319,11333,11355,11382,11412,11440,11461
531,132,130,129,128,128,129,132,135,140,144,148,151,153,155,157,158
212,70,70,70,70,70,71,71,71,71,71,71,72,72,72,73,73
214,8563,8697,8832,8968,9103,9238,9371,9504,9637,9768,9898,10027,10155,10281,10406,10528
308,102,102,102,102,103,103,103,104,104,104,105,105,105,106,106,107
312,425,428,431,434,437,440,442,445,447,449,451,451,452,451,451,450
332,8549,8693,8835,8977,9119,9263,9409,9557,9705,9853,10000,10145,10289,10432,10572,10711
388,2657,2677,2695,2713,2729,2745,2760,2775,2790,2804,2817,2829,2841,2852,2862,2872
474,387,390,392,395,396,397,398,398,397,396,395,393,391,389,387,386
500,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
630,3797,3800,3796,3787,3776,3765,3755,3745,3736,3726,3717,3707,3698,3689,3681,3674
659,45,46,47,47,48,49,49,50,50,51,51,52,53,53,54,54
662,157,158,160,161,162,164,165,167,169,171,173,174,175,176,176,177
670,108,108,108,108,109,109,109,109,109,109,109,109,109,109,109,109
534,32,32,32,32,32,33,33,32,32,33,33,34,35,36,38,39
780,1268,1272,1278,1284,1291,1297,1303,1309,1315,1322,1328,1335,1342,1348,1354,1360
796,19,20,22,23,25,26,28,29,29,30,31,32,32,33,34,34
850,109,109,109,108,108,108,107,107,107,106,106,106,106,105,105,105
84,247,255,262,269,276,283,291,298,306,314,322,329,337,344,352,359
188,3925,3997,4063,4126,4187,4248,4309,4369,4430,4488,4545,4600,4654,4706,4758,4808
222,5868,5906,5940,5972,6001,6029,6056,6083,6110,6137,6165,6193,6221,6251,6281,6312
320,11651,11925,12209,12500,12797,13096,13397,13700,14006,14316,14630,14949,15271,15596,15924,16252
340,6524,6693,6863,7034,7204,7373,7541,7708,7873,8035,8195,8352,8506,8658,8809,8961
484,101720,103067,104356,105640,106996,108472,110092,111836,113662,115505,117319,119090,120828,122536,124222,125891
558,5027,5101,5172,5241,5310,5379,5450,5522,5595,5667,5738,5808,5877,5946,6014,6082
591,3030,3090,3149,3209,3270,3330,3392,3454,3516,3579,3643,3708,3773,3838,3904,3969
32,37057,37472,37889,38309,38729,39145,39559,39970,40382,40799,41224,41657,42097,42540,42982,43418
68,8340,8496,8653,8810,8968,9125,9283,9441,9600,9759,9918,10078,10239,10400,10562,10725
76,175288,177751,180151,182482,184738,186917,189012,191027,192979,194896,196796,198687,200561,202409,204213,205962
152,15263,15445,15624,15800,15974,16147,16320,16492,16662,16829,16993,17153,17310,17463,17614,17763
170,40404,40989,41572,42152,42724,43286,43836,44375,44902,45416,45918,46407,46881,47343,47792,48229
218,12629,12853,13072,13290,13510,13735,13967,14205,14448,14691,14935,15177,15420,15662,15903,16144
238,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
254,163,171,179,188,196,204,211,217,222,228,234,241,247,255,262,269
328,753,752,752,752,752,751,750,748,746,746,747,749,753,758,763,769
600,5303,5407,5509,5608,5704,5795,5883,5966,6047,6128,6210,6294,6379,6466,6553,6639
604,25915,26261,26601,26938,27273,27610,27950,28293,28642,29002,29374,29760,30159,30566,30973,31377
740,472,478,483,488,494,499,504,510,515,521,526,532,537,543,548,553
