ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y,GLOBALID
1950.2.1,1950,Miners Court,Allen True,Oil Painting on Canvas,City and County Building,,,3143162.33911,1694560.75039,{00000000-0000-0000-0000-000000000000}
1993.1.1,1993,20th Century Perspectives,Susan Cooper,Oil on Sculpted Wood,City and County Building,,,3143163.20792,1694569.43067,{00000000-0000-0000-0000-000000000000}
1995.1.1,1995,Saco DeBoer,Ed Dwight,Bronze,City and County Building,,,3143164.94291,1694519.95177,{00000000-0000-0000-0000-000000000000}
1995.2.1,1995,Mayor Robert Speer,Thomas Jay Warren,Bronze,City and County Building,,,3143168.41552,1694511.27156,{00000000-0000-0000-0000-000000000000}
1980.2.1,1980,Colorado Miner,George Carlson,Bronze,Washington Park,,,3149048.65372,1681346.90905,{00000000-0000-0000-0000-000000000000}
1918.1.1,1918,Joseph Addison Thatcher Memorial,Lorado Taft,Bronze and Marble,City Park,Entrance off Esplanade,,3152738.77986,1696630.81839,{00000000-0000-0000-0000-000000000000}
1966.1.1,1966,Antique Chinese Type Sundial or The Sundial,Milt Erickson,Stone  ,"1st and Bellaire St, off Colorado Blvd.",,,3159020.58051,1687341.48917,{00000000-0000-0000-0000-000000000000}
1977.1.1,1977,"Pasado, Presente, Futuro",Carlota Espinoza,Mural,Byers Branch Library,Above main desk,,3140951.64199,1690122.61783,{00000000-0000-0000-0000-000000000000}
1993.6.1,1993,Berkeley Park: Past and Present,Randi Eyre,Mural,Berkeley Park Pool,,,3127081.35872,1709791.04981,{00000000-0000-0000-0000-000000000000}
1994.1.1,1994,Clear Concept,Sherry Allen,Mural,Berkeley Park,,,3127104.96185,1709795.34061,{00000000-0000-0000-0000-000000000000}
1991.14.2,1991,Water Friends,Julie Burrington,Mural,Congress Park Pool,,,3153046.43077,1691239.68355,{00000000-0000-0000-0000-000000000000}
1994.9.1,1994,SubCore Floors,Darrell Anderson and Barb McKee,Mosiac Floor,Denver International Airport,,,3232557.96481,1735005.11029,{00000000-0000-0000-0000-000000000000}
1994.11.1,1994,Tribute to William E. Smith,Ed Dwight,Bronze,Denver International Airport,,,3232037.13141,1735352.33256,{00000000-0000-0000-0000-000000000000}
1994.12.1,1994,"America, Why I Love Her",Gary Sweeney,Mixed Media,Denver International Airport,,,3231689.90906,1735439.13879,{00000000-0000-0000-0000-000000000000}
1994.13.1,1994,Train Call,Jim Green,Sound Installation,Denver International Airport,,,3231863.5202,1735439.13879,{00000000-0000-0000-0000-000000000000}
1994.27.1,1994,Beaded Circle Crossing,Alice Adams,Steel and Mixed Media,Denver International Airport,,,3232037.13141,1735439.13879,{00000000-0000-0000-0000-000000000000}
1994.14.1,1994,Great Hall Floor,Juane Quick-To-See Smith and Ken Iw,Terrazzo,Denver International Airport,,,3231950.32643,1735612.75,{00000000-0000-0000-0000-000000000000}
1994.15.1,1994,Deep Time/Deep Space,Leni Schwendinger,Neon/bronze,Denver International Airport,,,3232037.13141,1735439.13879,{00000000-0000-0000-0000-000000000000}
1994.16.1,1994,Untitled  Interior Garden,Michael Singer,Concrete and plants,Denver International Airport,,,3232210.74254,1735265.52765,{00000000-0000-0000-0000-000000000000}
1994.17.1,1994,Experimental Aviation,Patty Ortiz,Metal,Denver International Airport,,,3231863.5202,1735439.13879,{00000000-0000-0000-0000-000000000000}
1994.19.1,1994,Kinetic Light Air Curtain,Toni Rosato and William Maxwell,Steel,Denver International Airport,,,3232210.74254,1735265.52765,{00000000-0000-0000-0000-000000000000}
1994.20.1,1994,Audio Works,Various Artists,Audio,Denver International Airport,,,3232297.54745,1735352.33256,{00000000-0000-0000-0000-000000000000}
1994.22.1,1994,SkyDance,Anna Murch,Light projection,Denver International Airport,,,3232037.13141,1735091.91652,{00000000-0000-0000-0000-000000000000}
1994.23.1,1994,Dual Meridian,David Griggs,Steel,Denver International Airport,,,3231950.32643,1735439.13879,{00000000-0000-0000-0000-000000000000}
