ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y,GLOBALID
1983.1.1,1983,Babi Yar Park,Satoru Nishita,Metal/wood/black granite,Babi Yar Park,,,3178020.90954,1669049.46468,{00000000-0000-0000-0000-000000000000}
2003.21.1,2003,Photo-Illustrations,Marcie Jan Bronstein,Digital Photographic Prints,Family Crisis Center,,,3133905.77221,1692430.03767,{00000000-0000-0000-0000-000000000000}
2008.3.1,2008,"Untitled
",Keith White and Your Name in Grafitti,Aerosol Paint Mural,Globeville Pool and Argo Park,4700 Logan St,,3145664.16231,1710216.26532,{00000000-0000-0000-0000-000000000000}
1999.2.1,1999,Confluent People,Emanuel Martinez,Mural,Little Raven St and Speer Blvd. underpass,,,3138381.57366,1699589.79982,{00000000-0000-0000-0000-000000000000}
1991.17.1,1991,Medalions,John Boak,Acrylic on Metal,Harvard Gulch Recreation Center,,,3146153.61949,1670941.73595,{00000000-0000-0000-0000-000000000000}
2003.14.1,2003,Civic Source Point,Larry Kirkland,Aluminum and diachronic glass,Wellington E Webb Municipal Building,Atrium,,3143360.16505,1695007.8058,{00000000-0000-0000-0000-000000000000}
2003.2.1,2003,The Ensemble,Oyedelle Oginga,Wood Relief,Wellington E Webb Municipal Building,,,3143421.63831,1695117.60472,{00000000-0000-0000-0000-000000000000}
2005.6.1,2005,The Denver ,Kristine Smock,Steel,Sloans Lake Park,,,3130237.76081,1696386.35997,{00000000-0000-0000-0000-000000000000}
1991.15.1,1991,Parked Perspectives,Susan Cooper,Cast concrete,Congress Park Pool,,,3153080.81141,1691317.61341,{00000000-0000-0000-0000-000000000000}
1993.10.1,1993,Drums of Peace and Dignity,Nick Vigil,Painted Wood Sculpture,St. Charles Recreation Center,,,3148670.46495,1705542.885,{00000000-0000-0000-0000-000000000000}
1994.29.1,1994,Continuum,Clay Wright,Acrylic,20th St. Recreation Center,,,3143343.11107,1698946.30293,{00000000-0000-0000-0000-000000000000}
