,CBSA Code,CBSA,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg,Year
10,30620,"Lima, OH",,,,,0.08,0.068,7.0,4.0,1.0,,,,,,2013
11,31930,"Marietta, OH",,,,,0.08,0.063,,,,,,,,0.01,2013
12,32020,"Marion, OH",,,,,,,,,,,,,,0.03,2013
13,34540,"Mount Vernon, OH",,,,,0.08,0.067,,,,,,,,,2013
14,39020,"Portsmouth, OH",,,,,,,14.0,4.0,1.0,18.0,9.4,40.0,17.0,,2013
15,41400,"Salem, OH",,,,,,,,,,,,31.0,17.0,0.02,2013
16,44220,"Springfield, OH",,,,,0.08,0.071,17.0,8.0,1.0,24.0,10.1,,,,2013
17,45780,"Toledo, OH",,,,,0.08,0.068,29.0,8.0,,22.0,10.2,,,0.06,2013
18,47920,"Washington Court House, OH",,,,,0.08,0.064,,,,,,,,,2013
19,48260,"Weirton-Steubenville, WV-OH",1.9,1.3,,,0.08,0.069,62.0,19.0,5.0,27.0,11.0,46.0,25.0,,2013
20,48540,"Wheeling, WV-OH",,,,,0.08,0.063,33.0,10.0,2.0,25.0,10.4,,,,2013
21,48940,"Wilmington, OH",,,,,0.08,0.064,,,,,,,,,2013
22,49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.08,0.069,27.0,7.0,1.0,25.0,10.9,39.0,19.0,0.01,2013
0,10420,"Akron, OH",1.4,0.8,,,0.07,0.061,21.0,7.0,2.0,24.0,10.8,,,,2014
1,11780,"Ashtabula, OH",,,,,0.08,0.069,17.0,6.0,2.0,,,,,,2014
2,11900,"Athens, OH",,,,,,,,,,18.0,7.8,,,,2014
3,13340,"Bellefontaine, OH",,,,,,,,,,,,,,0.0,2014
4,15940,"Canton-Massillon, OH",1.5,1.1,,,0.08,0.065,,,,25.0,11.6,,,,2014
5,17140,"Cincinnati, OH-KY-IN",1.1,1.1,59.0,23.0,0.09,0.073,71.0,17.0,2.0,28.0,13.3,75.0,32.0,0.01,2014
6,17460,"Cleveland-Elyria, OH",7.1,3.7,48.0,12.0,0.08,0.075,80.0,22.0,4.0,27.0,12.5,93.0,38.0,0.03,2014
7,18140,"Columbus, OH",1.8,1.3,51.0,12.0,0.08,0.07,17.0,6.0,0.0,24.0,10.9,46.0,23.0,,2014
8,19380,"Dayton, OH",1.4,1.0,,,0.08,0.069,26.0,7.0,1.0,25.0,10.1,35.0,19.0,0.01,2014
9,26580,"Huntington-Ashland, WV-KY-OH",,,32.0,6.0,0.08,0.065,19.0,6.0,1.0,22.0,9.3,36.0,20.0,0.01,2014
10,30620,"Lima, OH",,,,,0.07,0.066,13.0,5.0,1.0,,,,,,2014
11,31930,"Marietta, OH",,,,,0.08,0.063,,,,,,,,0.0,2014
12,32020,"Marion, OH",,,,,,,,,,,,,,0.03,2014
13,34540,"Mount Vernon, OH",,,,,0.08,0.066,,,,,,,,,2014
14,39020,"Portsmouth, OH",,,,,,,45.0,16.0,3.0,16.0,8.2,70.0,17.0,,2014
15,41400,"Salem, OH",,,,,,,23.0,8.0,2.0,,,37.0,18.0,0.02,2014
16,44220,"Springfield, OH",,,,,0.08,0.065,19.0,7.0,1.0,25.0,10.5,,,,2014
17,45780,"Toledo, OH",,,,,0.08,0.07,,,,29.0,10.6,,,0.09,2014
18,47920,"Washington Court House, OH",,,,,0.08,0.069,,,,,,,,,2014
19,48260,"Weirton-Steubenville, WV-OH",1.6,0.8,,,0.08,0.067,48.0,27.0,5.0,27.0,11.2,45.0,21.0,,2014
20,48540,"Wheeling, WV-OH",,,,,0.07,0.066,43.0,15.0,3.0,21.0,10.5,,,,2014
21,48940,"Wilmington, OH",,,,,0.09,0.07,,,,,,,,,2014
22,49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.08,0.071,44.0,13.0,1.0,22.0,11.3,28.0,17.0,,2014
0,10420,"Akron, OH",2.6,2.1,,,0.07,0.065,14.0,4.0,1.0,28.0,13.8,,,,2015
1,11780,"Ashtabula, OH",,,,,0.09,0.07,37.0,7.0,2.0,,,,,,2015
2,11900,"Athens, OH",,,,,,,,,,16.0,7.4,,,,2015
3,13340,"Bellefontaine, OH",,,,,,,,,,,,,,0.0,2015
4,15940,"Canton-Massillon, OH",1.8,1.4,,,0.08,0.072,,,,26.0,12.4,,,,2015
5,17140,"Cincinnati, OH-KY-IN",2.0,1.3,57.0,22.0,0.09,0.072,54.0,12.0,2.0,23.0,12.5,82.0,38.0,0.01,2015
6,17460,"Cleveland-Elyria, OH",5.8,2.9,50.0,13.0,0.08,0.074,89.0,31.0,3.0,27.0,13.3,86.0,42.0,0.03,2015
7,18140,"Columbus, OH",2.1,1.5,48.0,12.0,0.08,0.071,6.0,2.0,0.0,24.0,10.9,,,0.01,2015
8,19380,"Dayton, OH",1.6,1.1,,,0.08,0.071,25.0,5.0,1.0,22.0,10.3,41.0,19.0,,2015
9,26580,"Huntington-Ashland, WV-KY-OH",,,35.0,6.0,0.08,0.069,16.0,5.0,1.0,27.0,10.9,57.0,25.0,0.01,2015
10,30620,"Lima, OH",,,,,0.08,0.064,10.0,3.0,0.0,,,,,,2015
11,31930,"Marietta, OH",,,,,0.08,0.068,,,,,,,,0.0,2015
12,32020,"Marion, OH",,,,,,,,,,,,,,0.03,2015
13,34540,"Mount Vernon, OH",,,,,0.08,0.071,,,,,,,,,2015
14,39020,"Portsmouth, OH",,,,,,,20.0,9.0,2.0,23.0,8.7,53.0,17.0,,2015
15,41400,"Salem, OH",,,,,,,15.0,7.0,1.0,,,43.0,20.0,0.01,2015
16,44220,"Springfield, OH",,,,,0.08,0.071,13.0,5.0,0.0,20.0,9.6,,,,2015
17,45780,"Toledo, OH",,,,,0.08,0.064,,,,24.0,10.7,,,0.07,2015
18,47920,"Washington Court House, OH",,,,,0.08,0.07,,,,,,,,,2015
19,48260,"Weirton-Steubenville, WV-OH",1.1,0.7,,,0.08,0.069,50.0,24.0,3.0,29.0,13.2,45.0,22.0,,2015
20,48540,"Wheeling, WV-OH",,0.5,,,0.08,0.069,38.0,12.0,2.0,24.0,10.6,,,,2015
21,48940,"Wilmington, OH",,,,,0.08,0.07,,,,,,,,,2015
22,49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.08,0.07,32.0,7.0,1.0,26.0,11.0,41.0,19.0,,2015
0,10420,"Akron, OH",1.4,1.1,,,0.09,0.061,10.0,3.0,0.0,22.0,10.2,,,,2016
1,11780,"Ashtabula, OH",,,,,0.08,0.072,7.0,3.0,0.0,,,,,,2016
2,11900,"Athens, OH",,,,,,,,,,11.0,6.2,,,,2016
3,13340,"Bellefontaine, OH",,,,,,,,,,,,,,0.0,2016
4,15940,"Canton-Massillon, OH",1.8,1.4,,,0.08,0.072,,,,20.0,9.5,,,,2016
5,17140,"Cincinnati, OH-KY-IN",1.7,1.3,56.0,21.0,0.09,0.076,43.0,7.0,2.0,26.0,11.6,85.0,36.0,,2016
6,17460,"Cleveland-Elyria, OH",5.8,3.9,50.0,11.0,0.09,0.077,370.0,145.0,2.0,22.0,10.7,86.0,37.0,0.03,2016
7,18140,"Columbus, OH",2.5,1.8,42.0,12.0,0.09,0.072,4.0,2.0,0.0,18.0,8.7,52.0,20.0,0.01,2016
8,19380,"Dayton, OH",1.2,0.9,,,0.08,0.072,16.0,3.0,0.0,23.0,9.1,39.0,19.0,0.0,2016
9,26580,"Huntington-Ashland, WV-KY-OH",,,29.0,5.0,0.08,0.07,8.0,3.0,1.0,24.0,9.6,50.0,23.0,0.01,2016
10,30620,"Lima, OH",,,,,0.08,0.068,4.0,2.0,0.0,20.0,7.8,,,,2016
11,31930,"Marietta, OH",,,,,0.07,0.064,,,,,,,,0.0,2016
12,32020,"Marion, OH",,,,,,,,,,,,,,0.02,2016
13,34540,"Mount Vernon, OH",,,,,0.07,0.066,,,,,,,,,2016
14,39020,"Portsmouth, OH",,,,,,,23.0,5.0,1.0,17.0,8.4,37.0,15.0,,2016
15,41400,"Salem, OH",,,,,,,14.0,4.0,1.0,,,28.0,15.0,0.02,2016
16,44220,"Springfield, OH",,,,,0.08,0.071,6.0,2.0,0.0,18.0,8.4,,,,2016
17,45780,"Toledo, OH",,,,,0.08,0.07,21.0,5.0,1.0,20.0,8.9,,,0.12,2016
18,47920,"Washington Court House, OH",,,,,0.07,0.067,,,,,,,,,2016
19,48260,"Weirton-Steubenville, WV-OH",1.0,0.7,,,0.07,0.067,49.0,20.0,3.0,26.0,12.1,42.0,18.0,,2016
20,48540,"Wheeling, WV-OH",0.8,0.6,44.0,7.0,0.08,0.069,8.0,4.0,2.0,22.0,9.0,122.0,24.0,,2016
21,48940,"Wilmington, OH",,,,,0.08,0.071,,,,,,,,,2016
22,49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.08,0.071,13.0,4.0,0.0,19.0,8.2,45.0,16.0,,2016
0,10420,"Akron, OH",1.5,0.9,,,0.08,0.066,4.0,1.0,0.0,22.0,8.8,,,,2017
1,11780,"Ashtabula, OH",,,,,0.09,0.069,5.0,3.0,1.0,,,,,,2017
2,11900,"Athens, OH",,,,,,,,,,12.0,6.3,,,,2017
3,15940,"Canton-Massillon, OH",1.5,1.2,,,0.08,0.069,,,,21.0,9.7,,,,2017
4,17140,"Cincinnati, OH-KY-IN",1.6,1.2,51.0,20.0,0.09,0.072,31.0,7.0,1.0,22.0,10.9,59.0,31.0,,2017
5,17460,"Cleveland-Elyria, OH",5.4,3.3,46.0,11.0,0.09,0.073,41.0,14.0,1.0,27.0,11.2,67.0,30.0,0.03,2017
6,18140,"Columbus, OH",1.9,1.6,40.0,11.0,0.08,0.07,3.0,1.0,0.0,22.0,8.8,52.0,22.0,0.01,2017
7,19380,"Dayton, OH",1.9,1.0,,,0.08,0.07,7.0,2.0,0.0,19.0,8.6,34.0,16.0,,2017
8,26580,"Huntington-Ashland, WV-KY-OH",,,30.0,4.0,0.07,0.062,7.0,2.0,1.0,17.0,7.8,34.0,18.0,0.01,2017
9,30620,"Lima, OH",,,,,0.08,0.069,2.0,1.0,0.0,16.0,7.6,,,,2017
10,31930,"Marietta, OH",,,,,0.07,0.062,,,,,,,,0.0,2017
11,32020,"Marion, OH",,,,,,,,,,,,,,0.02,2017
12,34540,"Mount Vernon, OH",,,,,0.07,0.063,,,,,,,,,2017
13,38580,"Point Pleasant, WV-OH",,,,,,,38.0,8.0,2.0,,,,,,2017
14,39020,"Portsmouth, OH",,,,,,,13.0,3.0,1.0,,,25.0,11.0,,2017
15,41400,"Salem, OH",,,,,,,9.0,3.0,1.0,,,27.0,14.0,0.02,2017
16,44220,"Springfield, OH",,,,,0.08,0.068,4.0,2.0,0.0,20.0,8.2,,,,2017
17,45780,"Toledo, OH",,,,,0.08,0.069,14.0,3.0,0.0,20.0,8.3,,,0.11,2017
18,47920,"Washington Court House, OH",,,,,0.07,0.066,,,,,,,,,2017
19,48260,"Weirton-Steubenville, WV-OH",,,,,0.07,0.062,34.0,14.0,3.0,22.0,9.2,39.0,18.0,,2017
20,48540,"Wheeling, WV-OH",0.7,0.5,28.0,7.0,0.08,0.065,7.0,3.0,2.0,21.0,9.3,43.0,18.0,,2017
21,48940,"Wilmington, OH",,,,,0.08,0.07,,,,,,,,,2017
22,49660,"Youngstown-Warren-Boardman, OH-PA",,,,,0.08,0.068,4.0,2.0,0.0,23.0,11.8,32.0,17.0,,2017
0,10420,"Akron, OH",,1.4,,,,,,,,,,,,,2018
1,15940,"Canton-Massillon, OH",,0.9,,,,,,,,,,,,,2018
2,17140,"Cincinnati, OH-KY-IN",,1.1,,,,,,,,,,,,,2018
3,17460,"Cleveland-Elyria, OH",,1.4,,,,,,,,,,,,,2018
4,18140,"Columbus, OH",,1.2,,,,,,,,,,,,,2018
5,19380,"Dayton, OH",,0.9,,,,,,,,,,,,,2018
6,48540,"Wheeling, WV-OH",,0.5,,,,,,,,,,,,,2018
